2023-05-28T18:49:06.143738400 - Human at: x = 390.0, y = 260.0, rot = 0.0°
2023-05-28T18:49:06.307963100 - Human at: x = 390.0, y = 250.0, rot = 0.0°
2023-05-28T18:49:06.477917600 - Human at: x = 390.0, y = 240.0, rot = 0.0°
2023-05-28T18:49:06.653545200 - Human at: x = 390.0, y = 230.0, rot = 0.0°
2023-05-28T18:49:06.811123200 - Human at: x = 390.0, y = 220.0, rot = 0.0°
2023-05-28T18:49:06.980274100 - Human at: x = 390.0, y = 210.0, rot = 0.0°
2023-05-28T18:49:07.150339700 - Human at: x = 390.0, y = 200.0, rot = 0.0°
2023-05-28T18:49:07.320048 - Human at: x = 390.0, y = 190.0, rot = 0.0°
2023-05-28T18:49:07.483448300 - Human at: x = 390.0, y = 180.0, rot = 0.0°
2023-05-28T18:49:07.647154800 - Human at: x = 390.0, y = 170.0, rot = 0.0°
2023-05-28T18:49:07.816971 - Human at: x = 390.0, y = 160.0, rot = 0.0°
2023-05-28T18:49:07.968042800 - Human at: x = 390.0, y = 150.0, rot = 0.0°
2023-05-28T18:49:08.125903400 - Human at: x = 390.0, y = 140.0, rot = 0.0°
2023-05-28T18:49:08.283355300 - Human at: x = 390.0, y = 130.0, rot = 0.0°
2023-05-28T18:49:08.453052900 - Human at: x = 390.0, y = 120.0, rot = 0.0°
2023-05-28T18:49:08.617034600 - Human at: x = 390.0, y = 110.0, rot = 0.0°
2023-05-28T18:49:08.786404200 - Human at: x = 390.0, y = 100.0, rot = 0.0°
2023-05-28T18:49:08.944060700 - Human at: x = 390.0, y = 90.0, rot = 0.0°
2023-05-28T18:49:09.362235 - Human at: x = 380.0, y = 90.0, rot = 0.0°
